Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
John,Vincent,Henry Union 9617,South Johnnystad,43263,Danmark,DK,19430107-7962,+45,277-743-1536,1943-01-07,True
Irma,Olsson,Skolvägen 5,Kristianstad,33534,Sverige,SE,19970329-5371,+46,+46 (0)73 83 03 79,1997-03-29,True
Suzanne,Gill,Perez Land 18512,Martinezchester,01789,Danmark,DK,19901213-9002,+45,704.644.0995,1990-12-13,True
Nora,Persson,Järnvägsgatan 9,Borås,27767,Sverige,SE,19990605-0428,+46,+46 (0)70 81 68 22,1999-06-05,True
Ingeborg,Johansen,Andresenringen 14,Nilsberg,5157,Norge,NO,19510419-6507,+47,47 50 06 44,1951-04-19,True
Kevin,Williams,Henry Land 2596,Bakerside,46705,Danmark,DK,19910119-6962,+45,(265)590-3588x1706,1991-01-19,True
Adrian,Karlsson,Fabriksgatan 827,Helsingborg,52831,Sverige,SE,19971124-6267,+46,0214-13 71 39,1997-11-24,True
Luis,Lopez,Nichols Manor 12572,New Ryan,18669,Danmark,DK,19930818-8458,+45,411-451-2480,1993-08-18,True
Jennie,Eriksson,Industrivägen 3,Stockholm,80260,Sverige,SE,19961202-7717,+46,08-732 48 96,1996-12-02,True
Michael,Andersson,Fabriksgatan 4,Borås,55201,Sverige,SE,19590410-3529,+46,+46 (0)041 177 98,1959-04-10,True
Anni,Kuisma,Kilpolanbulevardi 72,Laitila,22447,Finland,FI,19800720-454R,+358,+358799647044,1980-07-20,True
Christina,Johnsson,Parkgränd 963,Helsingborg,97037,Finland,SE,19541018-0076,+46,+46 (0)51 77 97 07,1954-10-18,True
Margareta,Ahlgren,Åkervägen 4,Karlstad,74577,Sverige,SE,19591108-5622,+46,066-892 97 67,1959-11-08,True
Simon,Nilsson,Ängsvägen 581,Trelleborg,59343,Sverige,SE,19800309-4723,+46,+46 (0)8 521 644 26,1980-03-09,True
Stine,Gulbrandsen,Tangenekra 61,Pedersen,5312,Norge,NO,19450216-3075,+47,78 30 99 24,1945-02-16,True
Håkan,Nordström,Skoltorget 22,Nyköping,36971,Sverige,SE,19691008-9327,+46,+46 (0)32 56 48 94,1969-10-08,True
Gunnar,Karlsson,Skogsvägen 350,Linköping,88749,Sverige,SE,19520614-4455,+46,094-345 40 99,1952-06-14,True
Samuel,Lopez,Coffey Pike 860,Port Lindsey,04876,Danmark,DK,19810911-6079,+45,716.843.6178,1981-09-11,True
Nils,Nordin,Ängsgatan 2,Karlskoga,66965,Sverige,SE,19630323-8656,+46,043-327 83 46,1963-03-23,True
Kristian,Strand,Myhretoppen 7,Holm,7164,Norge,NO,19571024-1037,+47,977 19 425,1957-10-24,True
Elisabeth,Nielsen,Nilsenfaret 2F,Berntsen,3539,Norge,NO,19661207-5590,+47,416 78 942,1966-12-07,True
Carl,Engström,Backgatan 3,Piteå,27248,Sverige,SE,19520819-9093,+46,08-425 933 45,1952-08-19,True
Lisa,Vargas,Weaver Passage 1543,Ruizview,85364,Danmark,DK,19470119-9218,+45,001-621-984-9783,1947-01-19,True
Paulina,Backlund,Skolvägen 02,Växjö,47363,Sverige,SE,19581212-0448,+46,+46 (0)865 871 36,1958-12-12,True
Richard,Kerr,John Light 8412,East Matthew,76998,Danmark,DK,19520608-7745,+45,(892)921-8470x7761,1952-06-08,True
Marie,Oneill,Ellison Trace 4014,South Christinefurt,94017,Danmark,DK,19630815-5983,+45,522-428-8869,1963-08-15,True
Curt,Nylander,Parkvägen 1,Sundsvall,84350,Sverige,SE,19790716-5790,+46,078-66 48 90,1979-07-16,True
Dan,Söderqvist,Industrivägen 6,Örnsköldsvik,28521,Sverige,SE,19740120-0912,+46,013-231 96 15,1974-01-20,True
Lise,Aas,Fredriksenåsen 86H,Olegrunn,9547,Norge,NO,19860221-4722,+47,47 32 50 45,1986-02-21,True
Matthew,Elliott,Walker Roads 07867,Port Ian,06180,Danmark,DK,19640109-5023,+45,676-214-4250x866,1964-01-09,True
Michelle,Barber,Hernandez Streets 2671,Port Michellestad,58647,Danmark,DK,19910608-9757,+45,334.239.9849,1991-06-08,True
Margareta,Andersson,Trädgårdsstigen 7,Skellefteå,21132,Sverige,SE,19630301-5448,+46,08-248 273 09,1963-03-01,True
Arild,Engen,Hanssenflata 1,Pettersen,8684,Norge,NO,19920716-8473,+47,+47 01 47 64 64,1992-07-16,True
Olov,Landin,Åkervägen 668,Lund,85276,Sverige,SE,19971101-3007,+46,+46 (0)002 950 94,1997-11-01,True
Anna,Karlsson,Industrigatan 93,Skellefteå,38407,Sverige,SE,19740922-7641,+46,08-00 97 19,1974-09-22,True
Charlotta,Lindell,Idrottsvägen 6,Piteå,63922,Sverige,SE,19521113-0617,+46,08-77 30 20,1952-11-13,True
Emelie,Pettersson,Industristigen 423,Borås,97005,Sverige,SE,19410522-2645,+46,0602-008 54,1941-05-22,True
Olof,Isaksson,Idrottsvägen 579,Eskilstuna,92670,Sverige,SE,19910604-9022,+46,+46 (0)46 90 57 28,1991-06-04,True
Björn,Ahlin,Skogsstigen 41,Varberg,57938,Sverige,SE,19900624-8633,+46,0069-026 01,1990-06-24,True
Nina,Thorsen,Fredriksenekra 9,Henrikø,0650,Norge,NO,19641101-9968,+47,97609463,1964-11-01,True
Ashley,Jones,Hickman Road 4485,New Jeffrey,47244,Danmark,DK,19851208-5059,+45,(536)204-2062x7005,1985-12-08,True
Matilda,Karlsson,Ängstorget 840,Helsingborg,83560,Sverige,SE,19970531-6967,+46,0426-606 56,1997-05-31,True
Vilde,Haugland,Engengata 55,Astridø,2921,Norge,NO,19900513-5947,+47,429 53 543,1990-05-13,True
Felix,Ahmed,Backvägen 276,Varberg,79565,Sverige,SE,19420429-6904,+46,021-202 10 26,1942-04-29,True
Colin,Rice,Larry Avenue 02101,South Christineborough,02976,Danmark,DK,19801122-3115,+45,876.900.9910x68387,1980-11-22,True
Morgan,Persson,Ekvägen 65,Gävle,52834,Sverige,SE,19870418-6627,+46,+46 (0)8 284 375 33,1987-04-18,True
Margaret,Adams,Sara Throughway 981,Kristinaview,53603,Danmark,DK,19680123-3144,+45,213.249.2969,1968-01-23,True
Lydia,Öhman,Industrivägen 3,Stockholm,86753,Sverige,SE,19800615-5531,+46,0091-64 15 00,1980-06-15,True
Anna,Green,Villavägen 7,Jönköping,73786,Sverige,SE,19660527-9351,+46,0823-84 75 51,1966-05-27,True
Paige,Thornton,Martinez Mews 24146,Elliottfurt,93811,Danmark,DK,19551213-5804,+45,949.810.8938,1955-12-13,True
Reidun,Andresen,Nilsentjernet 1,Nilsgrunn,5918,Norge,NO,19580805-8297,+47,927 02 229,1958-08-05,True
Ilmari,Piirainen,Neulapadonkatu 026,Lempäälä,13492,Finland,FI,19420312-650H,+358,+358630734449,1942-03-12,True
Katja,Aaltonen,Kolvikatu 38,Vaasa,83945,Finland,FI,19741021-568K,+358,+358 154967832,1974-10-21,True
Alfred,Nilsson,Strandtorget 8,Landskrona,45079,Sverige,SE,19770803-6370,+46,+46 (0)29 06 81 37,1977-08-03,True
Aron,Johansson,Industritorget 415,Göteborg,55313,Sverige,SE,19530102-9557,+46,0313-96 30 14,1953-01-02,True
Bjørg,Nygård,Olsensvingen 4,Eirikby,0085,Norge,NO,20000211-3675,+47,05 33 60 92,2000-02-11,True
Kristoffer,Pålsson,Trädgårdsvägen 4,Stockholm,17827,Sverige,SE,19451208-4063,+46,+46 (0)72 51 50 46,1945-12-08,True
Olli,Heinonen,Uudenkaupunginkuja 529,Juupajoki,03550,Finland,FI,19491012-235X,+46,(+358) 886125069,1949-10-12,True
Elizabeth,Andrade,Thomas Hill 5933,East Preston,57413,Danmark,DK,19940322-0986,+45,+1-896-928-0226x4330,1994-03-22,True
Jessica,Zimmerman,James Ways 88092,West Jamesborough,54478,Danmark,DK,19850517-2970,+45,297.738.4389,1985-05-17,True
Hege,Ellingsen,Mathisenalléen 06D,Tveit,6419,Norge,NO,19821224-0919,+47,98814488,1982-12-24,True
Johanna,Frisk,Industrivägen 51,Karlskrona,41573,Sverige,SE,19820226-0272,+46,063-05 73 20,1982-02-26,True
Eirik,Berg,Jørgensenroa 6,Tordal,0843,Norge,NO,19430324-1506,47,96755106,1943-03-24,True
Else,Aas,Myklebusthaugen 3,Thomassen,0134,Norge,NO,19491107-7011,+47,48661480,1949-11-07,True
Marte,Lien,Lundelyngen 2,Johansen,4786,Norge,NO,19830707-0059,+47,48620870,1983-07-07,True
Ann,Johansson,Fabriksgatan 80,Göteborg,65920,Sverige,SE,19600617-1504,+46,08-84 79 89,1960-06-17,True
Marko,Lappalainen,Ostostie 42,Uusikaupunki,87516,Finland,FI,19750721-361E,+358,0419284189,1975-07-21,True
Stig,Lindvall,Ektorget 1,Borlänge,34870,Sverige,SE,19920321-6888,+46,014-907 76 54,1992-03-21,True
Robert,Stone,Hubbard Avenue 1242,Mortonhaven,20584,Danmark,DK,19480628-9253,+45,360.234.1912,1948-06-28,True
Sven,Fransson,Järnvägstorget 244,Stockholm,39409,Sverige,SE,19730506-7443,+46,0389-89 59 95,1973-05-06,True
Linnea,Eriksson,Nytorget 1,Södertälje,84992,Sverige,SE,19701021-3473,+46,+46 (0)00 99 50 49,1970-10-21,True
Irene,Madsen,Christensenjordet 9F,Ninaberg,0646,Norge,NO,19810628-7686,+47,99 79 70 16,1981-06-28,True
Anna,Jansson,Åkergränd 12,Lidköping,69685,Sverige,SE,19780830-1054,+46,08-76 58 24,1978-08-30,True
Thea,Hauge,Bakkenalléen 9,Eriksen,0458,Norge,NO,19740502-0539,+47,90744844,1974-05-02,True
Artturi,Tamminen,Nervanderinpolku 696,Ikaalinen,72906,Finland,FI,19630111-0277,+358,(+358) 341841452,1963-01-11,True
Maria,Magnusson,Järnvägstorget 73,Linköping,46606,Sverige,SE,19481101-2121,+46,+46 (0)18 51 18 81,1948-11-01,True
Johannes,Blom,Ekvägen 02,Göteborg,68796,Sverige,SE,19840513-2908,+46,059-37 92 46,1984-05-13,True
Tommy,Olsson,Stationsgränd 3,Västerås,21863,Sverige,SE,19500529-8574,+46,005-225 94 24,1950-05-29,True
Albert,Svensson,Ringstigen 820,Växjö,83245,Sverige,SE,19990221-6217,+46,060-39 15 10,1999-02-21,True
Monika,Andersson,Parkgatan 284,Piteå,59653,Sverige,SE,19560331-6524,+46,08-853 54 57,1956-03-31,True
Anette,Haug,Aasberget 856,Nygård,8537,Norge,NO,19460508-0935,+47,44374958,1946-05-08,True
Agne,Mohammadi,Järnvägsstigen 40,Eskilstuna,24016,Sverige,SE,19820207-1380,+46,+46 (0)70 59 72 00,1982-02-07,True
Henrik,Kristiansen,Gundersenkroken 7,Kjerstifjell,8839,Norge,NO,19810919-2594,+47,91945128,1981-09-19,True
Heléne,Olsson,Industrivägen 1,Karlstad,45153,Sverige,SE,19580408-5879,+46,08-312 049 11,1958-04-08,True
Alexander,Carlsson,Skogsvägen 90,Borlänge,57721,Sverige,SE,19771117-8989,+46,+46 (0)248 596 37,1977-11-17,True
Brian,Morgan,Brown Junctions 164,Lake Courtney,42207,Danmark,DK,19611201-9418,+45,4007843156,1961-12-01,True
Yvonne,Harvey,Zuniga Walks 99415,East Paigeville,03549,Danmark,DK,19500812-7144,+45,+1-892-833-2540,1950-08-12,True
Emily,Thomas,Bryan Divide 2883,Thompsonfurt,96429,Danmark,DK,19701112-5872,+45,001-494-781-1197x04717,1970-11-12,True
Lennart,Göransson,Aspgatan 038,Lidköping,98976,Sverige,SE,19511029-9118,+46,091-09 85 50,1951-10-29,True
Sigrid,Roth,Skolstigen 6,Gävle,79660,Sverige,SE,19961026-6195,+46,0965-771 18,1996-10-26,True
